Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date
20020917X04496,Incident,DCA83IA003,1982-10-28,"WILMINGTON, DE",United States,,,ILG,GREATER WILMINGTON,Incident,Minor,Airplane,N213DS,Beech,E90,Yes,2.0,Turbo Prop,Part 91: General Aviation,,Executive/corporate,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,28-10-1983
20020917X04335,Incident,ATL83IA018,1982-10-28,"CLARKSVILLE, TN",United States,,,CKV,OUTLAW FIELD,Incident,Minor,Airplane,N4099A,Beech,B99,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,Air Kentucky Airline,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,28-10-1983
20020917X04225,Incident,ANC83IA010,1982-11-01,"BARROW, AK",United States,,,,,Incident,Minor,Airplane,N50DA,Short Bros.,SC7 SERIES 3,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,NSCH,Unknown,Cape Smythe Air Service Inc.,0.0,0.0,1.0,2.0,VMC,Approach,Probable Cause,01-11-1983
20020917X04336,Incident,ATL83IA028,1982-11-10,"GREENBORO, NC",United States,,,,,Incident,Minor,Airplane,N4814C,Convair,340,No,2.0,Reciprocating,"Part 125: 20+ Pax,6000+ lbs",UNK,Executive/corporate,,0.0,0.0,0.0,3.0,VMC,Cruise,Probable Cause,10-11-1983
20020917X04337,Incident,ATL83IA032,1982-11-14,"CLARKSBURG, WV",United States,,,CKB,BENEDUM,Incident,Minor,Airplane,N8432Q,Cessna,185,No,1.0,Reciprocating,Part 91: General Aviation,,Ferry,,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,14-11-1983
20020917X04338,Incident,ATL83IA034,1982-11-16,"HUNTSVILLE, AL",United States,,,,,Incident,Minor,Airplane,N5BA,Beech,G18S,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,Bo-s-aire,0.0,0.0,0.0,2.0,VMC,Descent,Probable Cause,16-11-1983
20020917X04669,Incident,FTW83IA044,1982-11-22,"LITTLE ROCK, AR",United States,,,LIT,ADAMS,Incident,Minor,Airplane,N846AA,Boeing,727-223,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,American Airlines,0.0,0.0,0.0,23.0,IMC,Landing,Probable Cause,22-11-1983
20020917X04340,Incident,ATL83IA053,1982-12-05,"WASHINGTON, DC",United States,,,,DCA,Incident,Minor,Airplane,N501BC,Piper,PA-23-250,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,05-12-1983
20020917X04339,Incident,ATL83IA050,1982-12-05,"WINSTON-SALEM, NC",United States,,,INT,SMITH REYNOLDS,Incident,Minor,Airplane,N798N,Boeing,737-201,No,2.0,Turbo Fan,Part 91: General Aviation,,Unknown,,0.0,0.0,0.0,5.0,VMC,Approach,Probable Cause,05-12-1983
20020917X04915,Incident,MIA83IA043,1982-12-06,"SARASOTA, FL",United States,,,SRQ,SARASOTA-BRADENTON,Incident,Minor,Airplane,N8871Z,Boeing,727-225,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,"Eastern Airlines, Inc.",0.0,0.0,0.0,21.0,VMC,Takeoff,Probable Cause,06-12-1983
